Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Burkina Faso,-0.301,-0.227,0.159,-0.207,-0.123,-0.145,-0.164,-0.177,0.572,0.378,-0.016,0.15,0.689,-0.063,-0.32,-0.331,0.254,0.205,0.433,0.801,0.277,0.183,0.702,0.781,0.513,0.382,1.075,0.647,0.062,0.665,0.578,0.035,0.795,0.385,0.478,0.989,0.696,1.069,0.629,0.624,0.578,1.075,1.054,0.929,1.517,1.234,0.949,0.362,0.989,1.321,1.058,0.545,0.903,0.931,1.178,1.136,1.283,1.225,1.153,1.123
Burundi,0.089,-0.434,0.033,-0.115,-0.198,0.072,-0.189,-0.205,0.217,0.325,-0.4,0.012,0.425,0.015,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.749,0.665,0.0,0.0,0.522,0.587,0.454,0.189,0.612,0.205,0.338,0.0,0.0,0.0,0.0,0.0,0.881,0.0,0.525,0.436,0.878,0.947,1.061,0.0,0.0,0.97,0.454,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,-0.092,0.267,0.528,0.046,-0.277,0.316,-0.016,-0.315,0.936,0.736,-0.239,0.015,0.305,-0.554,0.0,-0.318,-0.01,0.441,0.658,0.652,0.357,0.596,0.595,0.0,0.189,0.059,1.093,0.901,1.036,1.399,0.766,0.975,0.594,0.527,1.561,1.684,1.74,1.866,0.881,1.125,1.415,1.445,0.956,0.985,0.498,0.682,0.148,0.629,0.463,1.948,1.053,0.513,0.943,0.696,0.683,1.334,1.626,0.539,1.134,1.408
Cambodia,-0.034,-0.134,-0.323,0.151,-0.2,0.437,-0.077,-0.129,0.463,0.062,-0.481,0.018,0.353,-0.345,-0.031,-0.473,0.095,0.281,0.443,0.357,0.352,0.138,0.507,0.098,0.248,0.022,0.592,0.305,0.227,0.565,0.485,0.433,0.298,0.347,0.58,0.239,0.297,1.268,0.362,0.231,0.611,0.669,0.657,0.582,0.72,0.722,0.6,0.422,0.4,1.172,0.375,0.873,1.014,0.56,1.037,1.349,0.998,0.724,1.544,1.436
Cameroon,-0.094,-0.197,0.172,-0.158,-0.093,0.005,-0.094,-0.117,0.201,0.161,-0.142,0.037,0.552,-0.078,-0.202,-0.176,0.313,0.059,0.444,0.388,0.116,0.083,0.21,0.25,0.096,0.171,0.571,0.344,-0.207,0.678,0.638,-0.198,0.36,0.451,0.526,0.525,0.672,1.265,0.787,0.49,0.284,0.851,0.983,0.912,1.144,1.125,0.768,0.725,1.203,1.278,0.719,0.549,0.785,0.858,1.139,1.206,1.172,1.054,1.527,1.045
Canada,0.055,-0.121,0.332,-0.303,-0.871,-0.154,-0.452,0.481,0.001,0.426,-0.026,-1.799,0.306,-0.844,0.226,0.083,1.082,-0.602,-0.213,0.919,1.565,-0.67,0.491,0.338,-0.306,0.021,1.348,1.213,0.031,0.087,0.346,0.107,0.347,0.468,0.934,-0.124,0.427,2.47,1.699,1.292,1.424,0.554,1.257,0.508,1.298,2.348,1.332,0.856,0.54,2.915,1.449,2.155,1.187,0.297,1.225,2.412,1.503,0.523,1.342,1.158
Cayman Islands,0.0,-0.16,-0.204,0.0,0.0,-0.276,-0.31,-0.398,0.134,-0.131,-0.107,0.368,0.445,0.0,0.922,-0.066,0.366,0.283,0.27,0.513,-0.078,0.502,0.359,0.278,0.163,0.311,0.629,0.719,0.799,0.917,0.843,0.585,0.848,1.328,1.044,0.46,1.015,0.943,0.472,0.0,0.0,0.0,0.0,0.0,0.668,0.605,0.756,0.564,0.466,0.669,0.355,0.422,0.579,0.786,1.027,0.964,0.937,0.545,0.917,1.109
Central African Republic,-0.012,-0.311,0.024,-0.16,-0.062,0.081,-0.253,-0.192,0.106,0.241,-0.072,0.056,0.543,-0.062,-0.053,-0.111,0.256,0.088,0.425,0.491,0.106,0.353,0.557,0.194,0.245,0.573,0.571,0.363,-0.102,0.394,0.624,-0.322,0.457,0.686,0.28,0.267,0.264,1.253,0.575,0.807,0.518,0.896,0.964,1.255,1.315,1.186,0.595,0.779,1.296,1.296,0.868,0.635,0.889,0.704,1.011,1.241,1.225,1.206,1.28,1.214
Chad,-0.44,-0.306,0.256,-0.231,-0.149,-0.013,-0.38,-0.161,0.59,0.214,-0.223,0.225,0.744,0.025,-0.125,0.288,0.008,-0.06,0.575,0.46,0.22,0.469,0.109,0.678,0.339,0.779,0.485,0.281,-0.156,0.449,0.654,-0.265,0.323,0.421,0.283,0.684,0.251,0.866,0.596,0.377,0.294,0.781,0.835,0.855,1.214,1.415,0.63,0.474,1.294,1.285,1.03,0.629,1.063,0.879,1.328,0.921,1.025,1.515,1.375,1.037
Channel Islands,0.684,-0.634,-1.186,-0.28,-0.639,0.375,0.246,-0.012,0.2,0.08,0.032,-0.374,0.133,-0.073,0.642,0.652,-0.126,0.044,-0.563,-0.179,0.2,0.55,0.484,0.274,-0.493,-0.666,-0.241,0.444,1.497,1.494,0.07,0.46,0.103,1.086,1.533,0.11,0.904,0.817,1.346,0.892,1.111,1.039,1.388,1.014,1.19,1.144,1.308,0.842,0.743,0.165,1.129,0.811,0.591,1.792,1.146,1.509,1.525,1.551,1.693,2.128
