Country,Type,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barbados,Country area,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
Barbados,Cropland,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,11.0,10.5,10.0,9.0,8.0,8.0,8.0
Belarus,Country area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0,20760.0
Belarus,Cropland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6261.0,6248.0,6372.0,6379.0,6376.0,6319.0,6311.0,6306.0,6257.0,5884.0,5738.0,5689.0,5667.0,5660.0,5661.0,5640.0,5637.0,5664.0,5657.0,5651.0,5642.0,5678.6,5779.9,5790.6,5795.1,5841.0,5823.0
Belarus,Cropland area actually irrigated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.7,25.2,24.8,24.7,24.8
Belgium,Country area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0
Belgium,Cropland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.6,865.8,853.1,856.2,861.3,864.0,863.0,859.9,865.3,861.6,855.7,846.7,825.0,838.3,839.3,852.0,872.4,859.0,874.0
Belize,Country area,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0
Belize,Cropland,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0,52.0,53.0,53.0,53.0,53.0,53.0,55.0,64.0,67.0,72.0,77.0,81.0,87.0,94.0,94.0,96.0,97.0,98.0,98.0,100.0,99.0,99.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,105.0,107.0,107.0,110.0,110.0,110.0,120.0,120.0,122.0,122.0
Benin,Country area,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0,11476.0
